expression,reading,meaning,tags,parts_of_speech,group
そう; そうです,そう; そうです,"yes; appears, to be the case",N5,noun,Basic Greetings
いいえ,いいえ,"no, not at all",N5,expression,Basic Greetings
ええ,ええ,yes,N5,expression,Basic Greetings
下さい,ください,(with te-form verb) please do for me,N5,expression,Basic Greetings
さあ,さあ,"come now, well",N5,expression,Basic Greetings
どうぞ,どうぞ,"please, kindly, by all means",N5,expression,Basic Greetings
どうも,どうも,Thank you; somehow; no matter how hard one may try,N5,expression,Basic Greetings
はい,はい,yes,N5,expression,Basic Greetings
もしもし,もしもし,Hello? (used on the phone),N5,expression,Basic Greetings
あれ,あれ,that one (over there),N5,noun,Numbers & Counting
一,いち,one,N5,noun,Numbers & Counting
一日,いちにち,one day (duration),N5,noun,Numbers & Counting
一番,いちばん,"best (most), first, number one",N5,noun,Numbers & Counting
一緒,いっしょ,together,N5,noun,Numbers & Counting
五つ,いつつ,five things,N5,noun,Numbers & Counting
大勢,おおぜい,great number of people,N5,noun,Numbers & Counting
かかる,かかる,"it takes (amount of time, money) (v.i.)",N5,noun,Numbers & Counting
九,きゅう,nine,N5,noun,Numbers & Counting
九,く,nine,N5,noun,Numbers & Counting
五,ご,five,N5,noun,Numbers & Counting
九つ,ここのつ,nine things,N5,noun,Numbers & Counting
これ,これ,this one,N5,noun,Numbers & Counting
三,さん,three,N5,noun,Numbers & Counting
四,し,four,N5,noun,Numbers & Counting
七,しち,seven,N5,noun,Numbers & Counting
十,じゅう,ten,N5,noun,Numbers & Counting
背,せい,"(one's) height, stature",N5,noun,Numbers & Counting
ゼロ,ゼロ,zero,N5,noun,Numbers & Counting
千,せん,thousand,N5,noun,Numbers & Counting
それ,それ,that one,N5,noun,Numbers & Counting
たて,たて,"length, height",N5,noun,Numbers & Counting
誰か,だれか,someone,N5,noun,Numbers & Counting
十,(〜を) とお,ten (~),N5,noun,Numbers & Counting
どっち,どっち,"which one, which way",N5,noun,Numbers & Counting
どれ,どれ,which one,N5,noun,Numbers & Counting
七つ,ななつ,seven things,N5,noun,Numbers & Counting
二,に,two,N5,noun,Numbers & Counting
二十歳,はたち,20 years old,N5,noun,Numbers & Counting
八,はち,eight,N5,noun,Numbers & Counting
奥さん,おくさん,(someone else's) wife (hon.),N5,verb,Numbers & Counting
半,はん,"half (e.g., にじはん | half-past two)",N5,noun,Numbers & Counting
番号,ばんごう,"number, series of digits",N5,noun,Numbers & Counting
半分,はんぶん,half,N5,noun,Numbers & Counting
一つ,ひとつ,one thing,N5,noun,Numbers & Counting
一月,ひとつき,one month,N5,noun,Numbers & Counting
一人,ひとり,one person,N5,noun,Numbers & Counting
百,ひゃく,hundred,N5,noun,Numbers & Counting
二つ,ふたつ,two things,N5,noun,Numbers & Counting
二人,ふたり,two people,N5,noun,Numbers & Counting
万,まん,ten thousand,N5,noun,Numbers & Counting
万年筆,まんねんひつ,fountain pen,N5,noun,Numbers & Counting
三つ,みっつ,three things,N5,noun,Numbers & Counting
六つ,むっつ,six things,N5,noun,Numbers & Counting
八百屋,やおや,greengrocer,N5,noun,Numbers & Counting
八つ,やっつ,eight things,N5,noun,Numbers & Counting
四つ,よっつ,four things,N5,noun,Numbers & Counting
零,れい,"zero, nought",N5,noun,Numbers & Counting
六,ろく,six,N5,noun,Numbers & Counting
丸い; 円い,まるい,"round, circular",N5,i-adjective,Numbers & Counting
どちら,どちら,which (one) (way); where (polite),N5,na-adjective,Numbers & Counting
よく,よく,"frequently, often (much); well, skillfully",N5,na-adjective,Numbers & Counting
皆さん,みなさん,"all of you, everyone",N5,adverb,Numbers & Counting
みんな,みんな,"all, everyone, everybody",N5,adverb,Numbers & Counting
～回,～かい,counter for occurrences (~ times),N5,counter,Numbers & Counting
～冊,～さつ,counter for books,N5,counter,Numbers & Counting
～人,～じん,counter for people,N5,counter,Numbers & Counting
～台,～だい,counter for vehicles; machines,N5,counter,Numbers & Counting
～度,～ど,counter for occurrences; ~ degree; ~ point,N5,counter,Numbers & Counting
～人,～にん,counter for people,N5,counter,Numbers & Counting
～杯,～はい,counter for cupfuls,N5,counter,Numbers & Counting
呼ぶ,よぶ,to call (one's name); to invite,N5,verb,Numbers & Counting
～匹,～ひき,counter for small animals,N5,counter,Numbers & Counting
～くらい; ぐらい,～くらい; ぐらい,approximate (quantity),N5,prefix/suffix,Numbers & Counting
朝,あさ,morning,N5,noun,Time & Dates
明後日,あさって,day after tomorrow,N5,noun,Time & Dates
明日,あした,tomorrow,N5,noun,Time & Dates
後,あと,afterwards (later); in the future; the rest; since then,N5,noun,Time & Dates
五日,いつか,five days; fifth day of the month,N5,noun,Time & Dates
今,いま,now,N5,noun,Time & Dates
一昨日,おととい,the day before yesterday,N5,noun,Time & Dates
おととし,おととし,year before last,N5,noun,Time & Dates
おまわりさん,おまわりさん,policeman (friendly term),N5,noun,Time & Dates
火曜日,かようび,Tuesday,N5,noun,Time & Dates
カレンダー,カレンダー,calendar,N5,noun,Time & Dates
昨日,きのう,yesterday,N5,noun,Time & Dates
今日,きょう,"today, this day",N5,noun,Time & Dates
去年,きょねん,last year,N5,noun,Time & Dates
金曜日,きんようび,Friday,N5,noun,Time & Dates
今朝,けさ,this morning,N5,noun,Time & Dates
月曜日,げつようび,Monday,N5,noun,Time & Dates
午後,ごご,"afternoon, P.M.",N5,noun,Time & Dates
九日,ここのか,nine days; ninth day of the month,N5,noun,Time & Dates
午前,ごぜん,"morning, A.M.",N5,noun,Time & Dates
今年,ことし,this year,N5,noun,Time & Dates
今月,こんげつ,this month,N5,noun,Time & Dates
今週,こんしゅう,this week,N5,noun,Time & Dates
今晩,こんばん,"tonight, this evening",N5,noun,Time & Dates
先,さき,"future; recent, previous",N5,noun,Time & Dates
さ来年,さらいねん,year after next,N5,noun,Time & Dates
時間,じかん,time,N5,noun,Time & Dates
自分,じぶん,"myself, oneself",N5,noun,Time & Dates
水曜日,すいようび,Wednesday,N5,noun,Time & Dates
先月,せんげつ,last month,N5,noun,Time & Dates
先週,せんしゅう,last week,N5,noun,Time & Dates
それから,それから,"and then, after that",N5,noun,Time & Dates
誕生日,たんじょうび,birthday,N5,noun,Time & Dates
一日,ついたち,one day; first day of the month,N5,noun,Time & Dates
十日,とおか,ten days; tenth day of the month,N5,noun,Time & Dates
時計,とけい,a watch; a clock,N5,noun,Time & Dates
年,とし,"year, age",N5,noun,Time & Dates
隣,となり,"next to, next door to",N5,noun,Time & Dates
土曜日,どようび,Saturday,N5,noun,Time & Dates
七日,なのか,seven days; seventh day (of the month),N5,noun,Time & Dates
日曜日,にちようび,Sunday,N5,noun,Time & Dates
初めて,はじめて,for the first time,N5,noun,Time & Dates
二十日,はつか,"twenty days, twentieth (day of the month)",N5,noun,Time & Dates
晩,ばん,evening,N5,noun,Time & Dates
消す,けす,"to erase, to delete, to turn off power",N5,verb,Time & Dates
昼,ひる,"noon, daytime",N5,noun,Time & Dates
二日,ふつか,two days; second day of the month,N5,noun,Time & Dates
前,まえ,"before, in front",N5,noun,Time & Dates
三日,みっか,"three days, third day of the month",N5,noun,Time & Dates
六日,むいか,six days; sixth day of month,N5,noun,Time & Dates
木曜日,もくようび,Thursday,N5,noun,Time & Dates
休み,やすみ,holiday; day off; absence,N5,noun,Time & Dates
夕方,ゆうがた,"late afternoon (typically just before dinner time), evening",N5,noun,Time & Dates
昨夜,ゆうべ,last night,N5,noun,Time & Dates
八日,ようか,eight days; eighth day of the month,N5,noun,Time & Dates
四日,よっか,four days; fourth day of the month,N5,noun,Time & Dates
夜,よる,"evening, night",N5,noun,Time & Dates
来月,らいげつ,next month,N5,noun,Time & Dates
来週,らいしゅう,next week,N5,noun,Time & Dates
来年,らいねん,next year,N5,noun,Time & Dates
忙しい,いそがしい,"busy (people, days)",N5,i-adjective,Time & Dates
早い,はやい,early,N5,i-adjective,Time & Dates
結構,けっこう,"splendid; enough, tolerably",N5,na-adjective,Time & Dates
暇,ひま,"free time, leisure",N5,na-adjective,Time & Dates
いつも,いつも,"always, usually, every time, never (with neg. verb)",N5,adverb,Time & Dates
すぐに,すぐに,"immediately, soon",N5,adverb,Time & Dates
多分,たぶん,"perhaps, probably, maybe",N5,adverb,Time & Dates
時々,ときどき,sometimes,N5,adverb,Time & Dates
毎朝,まいあさ,every morning,N5,adverb,Time & Dates
毎月,まいげつ; まいつき,"every month, monthly",N5,adverb,Time & Dates
毎週,まいしゅう,every week,N5,adverb,Time & Dates
毎日,まいにち,every day,N5,adverb,Time & Dates
毎年,まいねん; まいとし,"every year, yearly, annually",N5,adverb,Time & Dates
毎晩,まいばん,every night,N5,adverb,Time & Dates
まだ,まだ,"yet, still, besides",N5,adverb,Time & Dates
もう,もう,already; again; more,N5,adverb,Time & Dates
～か月,～かげつ,(number of) months,N5,prefix/suffix,Time & Dates
～月,～がつ,month of year,N5,prefix/suffix,Time & Dates
～ころ; ～ごろ,～ころ; ～ごろ,"about, toward, approximately (time)",N5,prefix/suffix,Time & Dates
～歳,～さい,~ years old,N5,prefix/suffix,Time & Dates
～時,～じ,~ o'clock (time),N5,prefix/suffix,Time & Dates
～時間,～じかん,~ hours,N5,prefix/suffix,Time & Dates
～中,～じゅう,"during, while",N5,prefix/suffix,Time & Dates
～週間,～しゅうかん,~ weeks,N5,prefix/suffix,Time & Dates
～ずつ,～ずつ,at a time,N5,prefix/suffix,Time & Dates
～中,～ちゅう,"during, while ~ing",N5,prefix/suffix,Time & Dates
～時,～とき,at the time of ~,N5,prefix/suffix,Time & Dates
～など,～など,et cetera,N5,prefix/suffix,Time & Dates
～日,～にち,"~ day of the month, for ~ days",N5,prefix/suffix,Time & Dates
休む,やすむ,"to rest, to have a break, to get time off",N5,verb,Time & Dates
～年,～ねん,~ years,N5,prefix/suffix,Time & Dates
～分,～ふん,~ minutes,N5,prefix/suffix,Time & Dates
お母さん,おかあさん,mother (formal),N5,noun,Family & Relationships
伯父; 叔父さん,おじさん,"uncle, middle-aged man",N5,noun,Family & Relationships
お父さん,おとうさん,father (formal),N5,noun,Family & Relationships
兄,あに,(my) older brother (humble),N5,verb,Family & Relationships
弟,おとうと,younger brother,N5,noun,Family & Relationships
大人,おとな,adult,N5,noun,Family & Relationships
お兄さん,おにいさん,(someone else's) older brother (formal),N5,noun,Family & Relationships
姉,あね,(my) older sister (humble),N5,verb,Family & Relationships
お姉さん,おねえさん,older sister (formal),N5,noun,Family & Relationships
伯母さん; 叔母さん,おばさん,aunt,N5,noun,Family & Relationships
家族,かぞく,"family, members of a family",N5,noun,Family & Relationships
妹,いもうと,younger sister (humble),N5,verb,Family & Relationships
こっち,こっち,this person; this direction; this side,N5,noun,Everyday Essentials
子供,こども,child(ren),N5,noun,Family & Relationships
丈夫,じょうぶ,"strong, solid, durable",N5,noun,Colors & Descriptions
兄弟,きょうだい,"siblings (humble), brothers and sisters",N5,verb,Family & Relationships
父,ちち,(my) father,N5,noun,Family & Relationships
どうして,どうして,"why, for what reason",N5,noun,Family & Relationships
母,はは,(my) mother,N5,noun,Family & Relationships
やる,やる,"to do; to give (to pets, parents, siblings, etc.)",N5,verb,Family & Relationships
人,ひと,"man, person",N5,noun,Family & Relationships
両親,りょうしん,"parents (lit., both parents)",N5,noun,Family & Relationships
明るい,あかるい,bright (in reference to personality or weather); cheerful,N5,i-adjective,Family & Relationships
おじいさん,おじいさん,"grandfather, male senior citizen",N5,na-adjective,Family & Relationships
おばあさん,おばあさん,"grandmother, female senior-citizen",N5,na-adjective,Family & Relationships
こちら,こちら,this person (polite); this way (polite),N5,na-adjective,Everyday Essentials
大丈夫,だいじょうぶ,It's ok (all right); No need to worry; Everything is under control,N5,adverb,Family & Relationships
足; 脚,あし,foot; leg,N5,noun,Body & Health
頭,あたま,head,N5,noun,Body & Health
医者,いしゃ,doctor; physician,N5,noun,Body & Health
かぶる,かぶる,"to wear, to put on (e.g., a hat on the head)",N5,verb,Body & Health
入口,いりぐち,entrance,N5,noun,Body & Health
後ろ,うしろ,"back, behind, rear",N5,noun,Body & Health
お腹,おなか,stomach,N5,noun,Body & Health
消える,きえる,"to vanish, to disappear",N5,verb,Body & Health
顔,かお,face (body part),N5,noun,Body & Health
風邪,かぜ,"cold, flu",N5,noun,Body & Health
体,からだ,body; health,N5,noun,Body & Health
吸う,すう,"to breathe in, to suck",N5,verb,Body & Health
漢字,かんじ,kanji; Chinese character,N5,noun,Body & Health
切手,きって,postal (postage) stamps,N5,noun,Body & Health
薬,くすり,medicine,N5,noun,Body & Health
出す,だす,to take (something) out; to hand in (something),N5,verb,Body & Health
口,くち,job opening; mouth,N5,noun,Body & Health
元気,げんき,"health(y), energetic",N5,noun,Body & Health
生徒,せいと,student; pupil,N5,noun,Body & Health
疲れる,つかれる,to get (become) tired; to become fatigued,N5,verb,Body & Health
近く,ちかく,nearby; in the neighborhood,N5,noun,Body & Health
手,て,hand,N5,noun,Body & Health
出口,でぐち,an exit,N5,noun,Body & Health
出る,でる,"to appear, to leave",N5,verb,Body & Health
歯,は,tooth,N5,noun,Body & Health
鼻,はな,nose,N5,noun,Body & Health
ハンカチ,ハンカチ,handkerchief,N5,noun,Body & Health
習う,ならう,to learn,N5,verb,Body & Health
左,ひだり,left hand side,N5,noun,Body & Health
病院,びょういん,hospital,N5,noun,Body & Health
病気,びょうき,illness; sickness,N5,noun,Body & Health
磨く,みがく,to brush (teeth); to polish,N5,verb,Body & Health
まっすぐ,まっすぐ,"straight (ahead), direct",N5,noun,Body & Health
右,みぎ,right hand side,N5,noun,Body & Health
耳,みみ,ear,N5,noun,Body & Health
渡す,わたす,to hand (something) over (v.t.); to get across,N5,verb,Body & Health
目,め,eye(s),N5,noun,Body & Health
暖かい,あたたかい,warm,N5,i-adjective,Body & Health
暑い,あつい,"hot (in reference to weather), warm",N5,i-adjective,Body & Health
熱い,あつい,hot (objects),N5,i-adjective,Body & Health
厚い,あつい,"kind, warm(hearted), thick, deep",N5,i-adjective,Body & Health
痛い,いたい,hurt; painful; sore,N5,i-adjective,Body & Health
寒い,さむい,cold (in reference to weather),N5,i-adjective,Body & Health
近い,ちかい,"near, close by, short",N5,i-adjective,Body & Health
温い,ぬるい,lukewarm,N5,i-adjective,Body & Health
上手,じょうず,"be good at, skillful",N5,na-adjective,Body & Health
下手,へた,"unskillful, poor",N5,na-adjective,Body & Health
便利,べんり,"convenient, handy",N5,na-adjective,Body & Health
朝御飯,あさごはん,breakfast,N5,noun,Food & Cooking
飴,あめ,(hard) candy,N5,noun,Food & Cooking
お菓子,おかし,"confections, sweets, snack",N5,noun,Food & Cooking
お酒,おさけ,sake; alcohol,N5,noun,Food & Cooking
お皿,おさら,"plate, dish",N5,noun,Food & Cooking
お茶,おちゃ,(green) tea,N5,noun,Food & Cooking
お弁当,おべんとう,a boxed lunch,N5,noun,Food & Cooking
カップ,カップ,cup,N5,noun,Food & Cooking
カレー,カレー,curry (abbr. for curry and rice),N5,noun,Food & Cooking
喫茶店,きっさてん,café,N5,noun,Food & Cooking
牛肉,ぎゅうにく,beef,N5,noun,Food & Cooking
牛乳,ぎゅうにゅう,milk,N5,noun,Food & Cooking
果物,くだもの,fruit,N5,noun,Food & Cooking
紅茶,こうちゃ,black tea,N5,noun,Food & Cooking
コーヒー,コーヒー,coffee,N5,noun,Food & Cooking
コップ,コップ,a tumbler; a glass,N5,noun,Food & Cooking
教える,おしえる,"to teach, to inform, to instruct",N5,verb,Food & Cooking
御飯,ごはん,rice (cooked); meal,N5,noun,Food & Cooking
魚,さかな,fish,N5,noun,Food & Cooking
砂糖,さとう,sugar,N5,noun,Food & Cooking
塩,しお,salt,N5,noun,Food & Cooking
下,した,"under, below, beneath",N5,noun,Food & Cooking
醤油,しょうゆ,soy sauce,N5,noun,Food & Cooking
食堂,しょくどう,"cafeteria, dining hall",N5,noun,Food & Cooking
ストーブ,ストーブ,heater (lit: stove),N5,noun,Food & Cooking
スプーン,スプーン,spoon,N5,noun,Food & Cooking
そば,そば,"near, close, beside; Japanese traditional buckwheat noodle",N5,noun,Food & Cooking
台所,だいどころ,kitchen,N5,noun,Food & Cooking
食べ物,たべもの,food,N5,noun,Food & Cooking
卵,たまご,egg,N5,noun,Food & Cooking
茶碗,ちゃわん,rice bowl,N5,noun,Food & Cooking
鶏肉,とりにく,chicken meat,N5,noun,Food & Cooking
ナイフ,ナイフ,knife,N5,noun,Food & Cooking
食べる,たべる,to eat,N5,verb,Food & Cooking
肉,にく,meat,N5,noun,Food & Cooking
飲み物,のみもの,"drink, beverage",N5,noun,Food & Cooking
灰皿,はいざら,ashtray,N5,noun,Food & Cooking
箸,はし,chopsticks,N5,noun,Food & Cooking
バター,バター,butter,N5,noun,Food & Cooking
パン,パン,bread,N5,noun,Food & Cooking
晩御飯,ばんごはん,"dinner, evening meal",N5,noun,Food & Cooking
昼御飯,ひるごはん,"lunch, midday meal",N5,noun,Food & Cooking
フォーク,フォーク,fork,N5,noun,Food & Cooking
豚肉,ぶたにく,pork,N5,noun,Food & Cooking
野菜,やさい,vegetable,N5,noun,Food & Cooking
夕飯,ゆうはん,"dinner, supper, evening meal",N5,noun,Food & Cooking
料理,りょうり,cooking; cuisine,N5,noun,Food & Cooking
レストラン,レストラン,restaurant,N5,noun,Food & Cooking
甘い,あまい,"generous, sweet",N5,i-adjective,Food & Cooking
美味しい,おいしい,"delicious, tasty",N5,i-adjective,Food & Cooking
作る,つくる,"to make, to create",N5,verb,Food & Cooking
辛い,からい,hot and spicy; salty,N5,i-adjective,Food & Cooking
涼しい,すずしい,"cool, refreshing (in reference to weather)",N5,i-adjective,Food & Cooking
まずい,まずい,"terrible (in reference to food), unappetizing, unpleasant (taste)",N5,i-adjective,Food & Cooking
とても,とても,"very (much), greatly, exceedingly",N5,adverb,Food & Cooking
～個,～こ,"counter for small items (e.g., fruits, cups)",N5,counter,Food & Cooking
アパート,アパート,apartment (abbr.),N5,noun,Home & Daily Life
家,いえ,"house, home",N5,noun,Home & Daily Life
椅子,いす,chair,N5,noun,Home & Daily Life
うち,うち,home; house; my place,N5,noun,Home & Daily Life
エレベーター,エレベーター,elevator,N5,noun,Home & Daily Life
お風呂,おふろ,a bath,N5,noun,Home & Daily Life
階段,かいだん,stairs,N5,noun,Home & Daily Life
鍵,かぎ,a lock; a key,N5,noun,Home & Daily Life
家庭,かてい,home; family,N5,noun,Home & Daily Life
角,かど,"corner (e.g., desk, pavement)",N5,noun,Home & Daily Life
玄関,げんかん,entrance (to a house or a building),N5,noun,Home & Daily Life
シャワー,シャワー,shower,N5,noun,Home & Daily Life
洗濯,せんたく,"washing, laundry",N5,noun,Home & Daily Life
建物,たてもの,building,N5,noun,Home & Daily Life
浴びる,あびる,"to bathe, to shower",N5,verb,Home & Daily Life
机,つくえ,desk,N5,noun,Home & Daily Life
テーブル,テーブル,table,N5,noun,Home & Daily Life
電気,でんき,"electricity, (electric) light",N5,noun,Home & Daily Life
戸,と,door (Japanese style),N5,noun,Home & Daily Life
ドア,ドア,door (Western style),N5,noun,Home & Daily Life
トイレ,トイレ,bathroom; toilet,N5,noun,Home & Daily Life
庭,にわ,garden,N5,noun,Home & Daily Life
ベッド,ベッド,bed,N5,noun,Home & Daily Life
部屋,へや,a room,N5,noun,Home & Daily Life
ポスト,ポスト,"mailbox; post, position",N5,noun,Home & Daily Life
本棚,ほんだな,bookshelf,N5,noun,Home & Daily Life
窓,まど,window,N5,noun,Home & Daily Life
眼鏡,めがね,eye glasses,N5,noun,Home & Daily Life
冷蔵庫,れいぞうこ,refrigerator,N5,noun,Home & Daily Life
寝る,ねる,to sleep; to go to sleep; to go to bed,N5,verb,Home & Daily Life
廊下,ろうか,corridor,N5,noun,Home & Daily Life
お手洗い,おてあらい,"toilet, restroom, bathroom (lit., a place to wash one's hands)",N5,i-adjective,Home & Daily Life
～階,～かい,counter for stories (floors) of a building,N5,counter,Home & Daily Life
あそこ,あそこ,"there, over there, that place",N5,noun,Clothing & Accessories
あの,あの,"that over there; like that, that way; um...",N5,noun,Clothing & Accessories
いかが,いかが,"how, in what way",N5,noun,Clothing & Accessories
上着,うわぎ,"coat, jacket",N5,noun,Clothing & Accessories
傘,かさ,"umbrella, parasol",N5,noun,Clothing & Accessories
靴,くつ,"shoes, footwear",N5,noun,Clothing & Accessories
靴下,くつした,socks,N5,noun,Clothing & Accessories
コート,コート,"coat; court (e.g., tennis)",N5,noun,Clothing & Accessories
シャツ,シャツ,shirt,N5,noun,Clothing & Accessories
着る,きる,to put on (clothes above your waist); to wear,N5,verb,Clothing & Accessories
スカート,スカート,skirt,N5,noun,Clothing & Accessories
ズボン,ズボン,trousers,N5,noun,Clothing & Accessories
セーター,セーター,sweater,N5,noun,Clothing & Accessories
そうして; そして,そうして; そして,"and, like that",N5,noun,Clothing & Accessories
そこ,そこ,"that place, there; bottom, sole",N5,noun,Clothing & Accessories
その,その,that,N5,noun,Clothing & Accessories
それでは,それでは,"in that situation, well then...",N5,noun,Clothing & Accessories
ちょっと,ちょっと,"a little, somewhat; just a little, somewhat",N5,noun,Clothing & Accessories
どう,どう,"how, in what way",N5,noun,Clothing & Accessories
する,する,"to do, to try; to wear small items (e.g., necktie, watch, etc.)",N5,verb,Clothing & Accessories
どこ,どこ,"where, what place",N5,noun,Clothing & Accessories
何,なん; なに,what,N5,noun,Clothing & Accessories
ネクタイ,ネクタイ,"tie, necktie",N5,noun,Clothing & Accessories
話,はなし,"talk (chat), story",N5,noun,Clothing & Accessories
春,はる,spring,N5,noun,Clothing & Accessories
服,ふく,clothes,N5,noun,Clothing & Accessories
帽子,ぼうし,hat; cap,N5,noun,Clothing & Accessories
ボタン,ボタン,button,N5,noun,Clothing & Accessories
洋服,ようふく,Western-style clothes,N5,noun,Clothing & Accessories
脱ぐ,ぬぐ,to take off (clothes),N5,verb,Clothing & Accessories
ワイシャツ,ワイシャツ,"shirt (lit: white shirt), business shirt",N5,noun,Clothing & Accessories
つまらない,つまらない,"boring, dull; insignificant",N5,i-adjective,Clothing & Accessories
どんな,どんな,"what, what kind of",N5,na-adjective,Clothing & Accessories
また,また,and; furthermore,N5,adverb,Clothing & Accessories
何～,なん～,what sort of ~,N5,prefix/suffix,Clothing & Accessories
嫌,いや,"disagreeable, detestable, unpleasant",N5,noun,School & Education
鉛筆,えんぴつ,pencil,N5,noun,School & Education
学生,がくせい,student,N5,noun,School & Education
開く,あく,"to open, to become open",N5,verb,School & Education
学校,がっこう,a school,N5,noun,School & Education
教室,きょうしつ,classroom,N5,noun,School & Education
クラス,クラス,a class,N5,noun,School & Education
開ける,あける,to open (v.t.),N5,verb,School & Education
授業,じゅぎょう,a class (of school),N5,noun,School & Education
宿題,しゅくだい,homework,N5,noun,School & Education
先生,せんせい,"teacher, professor; master; doctor",N5,noun,School & Education
起きる,おきる,"to get up (e.g., from sleeping); to happen",N5,verb,School & Education
大学,だいがく,college; university,N5,noun,School & Education
テスト,テスト,test,N5,noun,School & Education
図書館,としょかん,library,N5,noun,School & Education
取る,とる,to take (a class); to get (a grade),N5,verb,School & Education
ノート,ノート,notebook,N5,noun,School & Education
ペン,ペン,pen,N5,noun,School & Education
勉強,べんきょう (する),study,N5,noun,School & Education
留学生,りゅうがくせい,international student,N5,noun,School & Education
段々,だんだん,"gradually, by degrees",N5,adverb,School & Education
会社,かいしゃ,"company, corporation",N5,noun,Work & Career
警官,けいかん,police officer,N5,noun,Work & Career
勤める,つとめる,to work (for),N5,verb,Work & Career
作文,さくぶん,essay; composition,N5,noun,Work & Career
仕事,しごと,"work, job, occupation, employment",N5,noun,Work & Career
働く,はたらく,to work,N5,verb,Work & Career
デパート,デパート,(abbr.) department store,N5,noun,Work & Career
郵便局,ゆうびんきょく,post office,N5,noun,Work & Career
駅,えき,station,N5,noun,Travel & Transport
切符,きっぷ,a ticket,N5,noun,Travel & Transport
車,くるま,"car, vehicle",N5,noun,Travel & Transport
交差点,こうさてん,intersection,N5,noun,Travel & Transport
自転車,じてんしゃ,bicycle,N5,noun,Travel & Transport
自動車,じどうしゃ,automobile,N5,noun,Travel & Transport
タクシー,タクシー,taxi,N5,noun,Travel & Transport
地下鉄,ちかてつ,"underground train, subway",N5,noun,Travel & Transport
地図,ちず,a map,N5,noun,Travel & Transport
着く,つく,"to arrive at, to reach",N5,verb,Travel & Transport
電車,でんしゃ,electric train,N5,noun,Travel & Transport
荷物,にもつ,luggage; baggage,N5,noun,Travel & Transport
橋,はし,bridge,N5,noun,Travel & Transport
バス,バス,bus; bath; bass,N5,noun,Travel & Transport
飛行機,ひこうき,airplane,N5,noun,Travel & Transport
ホテル,ホテル,hotel,N5,noun,Travel & Transport
道,みち,"road, street; way, directions",N5,noun,Travel & Transport
旅行,りょこう,"travel, trip",N5,noun,Travel & Transport
広い,ひろい,spacious; wide; broad,N5,i-adjective,Travel & Transport
乗る,のる,"to get on, to ride in, to board",N5,verb,Travel & Transport
大切,たいせつ,important,N5,na-adjective,Travel & Transport
にぎやか,にぎやか,"bustling, busy",N5,na-adjective,Travel & Transport
お金,おかね,money,N5,noun,Shopping & Money
買い物,かいもの,shopping,N5,noun,Shopping & Money
銀行,ぎんこう,bank,N5,noun,Shopping & Money
売る,うる,to sell (v.t.),N5,verb,Shopping & Money
財布,さいふ,wallet,N5,noun,Shopping & Money
店,みせ,"store, shop",N5,noun,Shopping & Money
安い,やすい,inexpensive; cheap (things),N5,i-adjective,Shopping & Money
買う,かう,to buy,N5,verb,Shopping & Money
～がる,～がる,feel,N5,prefix/suffix,Shopping & Money
～屋,～や,~ shop,N5,prefix/suffix,Shopping & Money
好き,すき,"liking, fondness, love",N5,noun,Feelings & Emotions
危ない,あぶない,"dangerous, critical",N5,i-adjective,Feelings & Emotions
嫌い,きらい,dislike,N5,i-adjective,Feelings & Emotions
暗い,くらい,"dark, gloomy",N5,i-adjective,Feelings & Emotions
楽しい,たのしい,"enjoyable, fun",N5,i-adjective,Feelings & Emotions
大好き,だいすき,"very like-able, like very much",N5,adverb,Feelings & Emotions
重い,おもい,heavy; serious,N5,i-adjective,Personality & Character
軽い,かるい,"light, non-serious, minor",N5,i-adjective,Personality & Character
あちら,あちら,this way (polite),N5,na-adjective,Personality & Character
居る,いる,"(humble) to be (animate), to exist",N5,verb,Personality & Character
静か,しずか,"quiet, calm",N5,na-adjective,Personality & Character
青,あお,blue,N5,noun,Colors & Descriptions
赤,あか,red,N5,noun,Colors & Descriptions
いくつ,いくつ,"how many, how old",N5,noun,Colors & Descriptions
色,いろ,color,N5,noun,Colors & Descriptions
大きな,おおきな,big,N5,noun,Colors & Descriptions
同じ,おなじ,"same, identical",N5,noun,Colors & Descriptions
黄色,きいろ,yellow,N5,noun,Colors & Descriptions
困る,こまる,"to be bothered, to have difficulty",N5,verb,Colors & Descriptions
黒,くろ,black,N5,noun,Colors & Descriptions
白,しろ,white,N5,noun,Colors & Descriptions
小さな,ちいさな,"small, little",N5,noun,Colors & Descriptions
茶色,ちゃいろ,brown,N5,noun,Colors & Descriptions
なぜ,なぜ,why (same as どうして),N5,noun,Colors & Descriptions
ニュース,ニュース,news,N5,noun,Colors & Descriptions
始まる,はじまる,(something) begins,N5,noun,Colors & Descriptions
違う,ちがう,to be different; to differ; wrong,N5,verb,Colors & Descriptions
緑,みどり,green,N5,noun,Colors & Descriptions
物,もの,thing (concrete object),N5,noun,Colors & Descriptions
青い,あおい,blue,N5,i-adjective,Colors & Descriptions
赤い,あかい,red,N5,i-adjective,Colors & Descriptions
新しい,あたらしい,new,N5,i-adjective,Colors & Descriptions
薄い,うすい,"thin, weak",N5,i-adjective,Colors & Descriptions
大きい,おおきい,"big, large",N5,i-adjective,Colors & Descriptions
つける,つける,"to turn on (e.g., a light); to take",N5,verb,Colors & Descriptions
遅い,おそい,slow; (to be) late,N5,i-adjective,Colors & Descriptions
